LOCATION,SUBJECT,MEASURE,FREQUENCY,TIME,Value
AUS,TOT,USD,A,1990,40102.17328
AUS,TOT,USD,A,1991,39911.21029
AUS,TOT,USD,A,1992,40712.37396
AUS,TOT,USD,A,1993,41087.15506
AUS,TOT,USD,A,1994,41365.72262
AUS,TOT,USD,A,1995,41206.73578
AUS,TOT,USD,A,1996,42427.50333
AUS,TOT,USD,A,1997,43697.26856
AUS,TOT,USD,A,1998,44317.19722
AUS,TOT,USD,A,1999,45360.22997
AUS,TOT,USD,A,2000,45458.50964
AUS,TOT,USD,A,2001,45953.29366
AUS,TOT,USD,A,2002,46269.56654
AUS,TOT,USD,A,2003,46810.84385
AUS,TOT,USD,A,2004,48267.38403
AUS,TOT,USD,A,2005,48891.30501
AUS,TOT,USD,A,2006,49207.50539
AUS,TOT,USD,A,2007,50565.39819
AUS,TOT,USD,A,2008,50973.19265
AUS,TOT,USD,A,2009,50511.02939
AUS,TOT,USD,A,2010,52252.97944
AUS,TOT,USD,A,2011,53905.77401
AUS,TOT,USD,A,2012,54226.18948
AUS,TOT,USD,A,2013,53977.41911
AUS,TOT,USD,A,2014,54391.75744
AUS,TOT,USD,A,2015,53946.26631
AUS,TOT,USD,A,2016,53971.59746
AUS,TOT,USD,A,2017,53507.28546
AUS,TOT,USD,A,2018,53349.41362
AUT,TOT,USD,A,1990,40821.53196
AUT,TOT,USD,A,1991,42097.55544
AUT,TOT,USD,A,1992,42945.6674
AUT,TOT,USD,A,1993,43295.81578
AUT,TOT,USD,A,1994,43732.03378
AUT,TOT,USD,A,1995,44084.34515
AUT,TOT,USD,A,1996,43763.50178
AUT,TOT,USD,A,1997,43389.26429
AUT,TOT,USD,A,1998,44789.80751
AUT,TOT,USD,A,1999,45781.47308
AUT,TOT,USD,A,2000,45902.35837
AUT,TOT,USD,A,2001,45786.64115
AUT,TOT,USD,A,2002,46454.33978
AUT,TOT,USD,A,2003,46589.7287
AUT,TOT,USD,A,2004,47464.06803
AUT,TOT,USD,A,2005,47715.52767
AUT,TOT,USD,A,2006,48411.60974
AUT,TOT,USD,A,2007,48644.57511
AUT,TOT,USD,A,2008,49509.35566
AUT,TOT,USD,A,2009,50312.19378
AUT,TOT,USD,A,2010,50096.71444
AUT,TOT,USD,A,2011,49578.9147
AUT,TOT,USD,A,2012,49835.11427
AUT,TOT,USD,A,2013,49896.49234
AUT,TOT,USD,A,2014,50082.84861
AUT,TOT,USD,A,2015,50373.81106
AUT,TOT,USD,A,2016,50906.02028
AUT,TOT,USD,A,2017,50851.39713
AUT,TOT,USD,A,2018,50868.24601
BEL,TOT,USD,A,1990,41615.90395
BEL,TOT,USD,A,1991,43445.30966
BEL,TOT,USD,A,1992,44840.10978
BEL,TOT,USD,A,1993,45781.93869
BEL,TOT,USD,A,1994,46670.62602
BEL,TOT,USD,A,1995,46512.5808
BEL,TOT,USD,A,1996,47011.0275
BEL,TOT,USD,A,1997,47670.09885
BEL,TOT,USD,A,1998,47587.90032
BEL,TOT,USD,A,1999,50128.85469
BEL,TOT,USD,A,2000,49795.67629
BEL,TOT,USD,A,2001,50077.95895
BEL,TOT,USD,A,2002,50941.35096
BEL,TOT,USD,A,2003,51156.39012
BEL,TOT,USD,A,2004,50932.23821
BEL,TOT,USD,A,2005,50609.88806
BEL,TOT,USD,A,2006,50815.59546
BEL,TOT,USD,A,2007,50575.4021
BEL,TOT,USD,A,2008,50725.0265
BEL,TOT,USD,A,2009,51159.32176
BEL,TOT,USD,A,2010,50872.487
BEL,TOT,USD,A,2011,51204.9434
BEL,TOT,USD,A,2012,51550.58104
BEL,TOT,USD,A,2013,52221.57803
BEL,TOT,USD,A,2014,52514.32761
BEL,TOT,USD,A,2015,52120.10915
BEL,TOT,USD,A,2016,51951.715
BEL,TOT,USD,A,2017,51736.09972
BEL,TOT,USD,A,2018,52079.61531
CAN,TOT,USD,A,1990,35072.77878
CAN,TOT,USD,A,1991,34890.77291
CAN,TOT,USD,A,1992,35446.43941
CAN,TOT,USD,A,1993,35411.82993
CAN,TOT,USD,A,1994,35245.68391
CAN,TOT,USD,A,1995,35352.13312
CAN,TOT,USD,A,1996,35710.8365
CAN,TOT,USD,A,1997,37064.36972
CAN,TOT,USD,A,1998,37815.31849
CAN,TOT,USD,A,1999,38298.59351
CAN,TOT,USD,A,2000,39380.0563
CAN,TOT,USD,A,2001,39218.1024
CAN,TOT,USD,A,2002,38800.06235
CAN,TOT,USD,A,2003,38801.76635
CAN,TOT,USD,A,2004,39847.98775
CAN,TOT,USD,A,2005,41566.19825
CAN,TOT,USD,A,2006,42907.72168
CAN,TOT,USD,A,2007,43968.62745
CAN,TOT,USD,A,2008,44810.32639
CAN,TOT,USD,A,2009,45309.04022
CAN,TOT,USD,A,2010,45502.56024
CAN,TOT,USD,A,2011,46203.40255
CAN,TOT,USD,A,2012,47275.53082
CAN,TOT,USD,A,2013,48191.59919
CAN,TOT,USD,A,2014,48717.52776
CAN,TOT,USD,A,2015,48979.30251
CAN,TOT,USD,A,2016,47793.36844
CAN,TOT,USD,A,2017,48247.09108
CAN,TOT,USD,A,2018,48848.5225
CZE,TOT,USD,A,1995,13547.37486
CZE,TOT,USD,A,1996,14909.40821
CZE,TOT,USD,A,1997,15123.74111
CZE,TOT,USD,A,1998,15070.25084
CZE,TOT,USD,A,1999,15637.79401
CZE,TOT,USD,A,2000,16157.45428
CZE,TOT,USD,A,2001,16969.62923
CZE,TOT,USD,A,2002,17996.45612
CZE,TOT,USD,A,2003,19356.06246
CZE,TOT,USD,A,2004,20309.71827
CZE,TOT,USD,A,2005,20921.09376
CZE,TOT,USD,A,2006,21756.38491
CZE,TOT,USD,A,2007,22412.33651
CZE,TOT,USD,A,2008,22423.00872
CZE,TOT,USD,A,2009,22371.6839
CZE,TOT,USD,A,2010,22944.4926
CZE,TOT,USD,A,2011,23101.99456
CZE,TOT,USD,A,2012,23089.6502
CZE,TOT,USD,A,2013,22846.09946
CZE,TOT,USD,A,2014,23324.26132
CZE,TOT,USD,A,2015,23962.81256
CZE,TOT,USD,A,2016,24778.2455
CZE,TOT,USD,A,2017,25804.10436
CZE,TOT,USD,A,2018,26961.57559
DNK,TOT,USD,A,1990,40078.4495
DNK,TOT,USD,A,1991,40263.22559
DNK,TOT,USD,A,1992,41653.12365
DNK,TOT,USD,A,1993,42108.21584
DNK,TOT,USD,A,1994,40596.46399
DNK,TOT,USD,A,1995,41448.50255
DNK,TOT,USD,A,1996,42207.40872
DNK,TOT,USD,A,1997,42884.75148
DNK,TOT,USD,A,1998,43645.52178
DNK,TOT,USD,A,1999,44136.67277
DNK,TOT,USD,A,2000,44111.26482
DNK,TOT,USD,A,2001,44405.107
DNK,TOT,USD,A,2002,45426.58921
DNK,TOT,USD,A,2003,46560.38022
DNK,TOT,USD,A,2004,47604.03443
DNK,TOT,USD,A,2005,48410.90648
DNK,TOT,USD,A,2006,49235.15314
DNK,TOT,USD,A,2007,49771.7694
DNK,TOT,USD,A,2008,50445.51988
DNK,TOT,USD,A,2009,51668.57403
DNK,TOT,USD,A,2010,52263.8567
DNK,TOT,USD,A,2011,51993.25884
DNK,TOT,USD,A,2012,51923.10356
DNK,TOT,USD,A,2013,52260.70461
DNK,TOT,USD,A,2014,53260.74406
DNK,TOT,USD,A,2015,54196.8862
DNK,TOT,USD,A,2016,55032.34644
DNK,TOT,USD,A,2017,54722.5035
DNK,TOT,USD,A,2018,55253.34203
FIN,TOT,USD,A,1990,33509.41787
FIN,TOT,USD,A,1991,33853.46793
FIN,TOT,USD,A,1992,33355.34428
FIN,TOT,USD,A,1993,32178.70382
FIN,TOT,USD,A,1994,32647.00548
FIN,TOT,USD,A,1995,33979.42966
FIN,TOT,USD,A,1996,34792.21123
FIN,TOT,USD,A,1997,34824.01592
FIN,TOT,USD,A,1998,35725.31127
FIN,TOT,USD,A,1999,36568.70279
FIN,TOT,USD,A,2000,37200.20502
FIN,TOT,USD,A,2001,37404.32857
FIN,TOT,USD,A,2002,37616.42557
FIN,TOT,USD,A,2003,38340.93048
FIN,TOT,USD,A,2004,39622.98386
FIN,TOT,USD,A,2005,40535.79877
FIN,TOT,USD,A,2006,41478.69831
FIN,TOT,USD,A,2007,42110.68722
FIN,TOT,USD,A,2008,42518.64074
FIN,TOT,USD,A,2009,42861.71618
FIN,TOT,USD,A,2010,43535.17087
FIN,TOT,USD,A,2011,43684.94029
FIN,TOT,USD,A,2012,43715.15615
FIN,TOT,USD,A,2013,43245.26697
FIN,TOT,USD,A,2014,43229.09351
FIN,TOT,USD,A,2015,43617.28448
FIN,TOT,USD,A,2016,43968.93163
FIN,TOT,USD,A,2017,43801.86904
FIN,TOT,USD,A,2018,44111.40003
FRA,TOT,USD,A,1990,33295.60127
FRA,TOT,USD,A,1991,33681.99734
FRA,TOT,USD,A,1992,34058.43594
FRA,TOT,USD,A,1993,34451.92396
FRA,TOT,USD,A,1994,34593.96264
FRA,TOT,USD,A,1995,35110.25623
FRA,TOT,USD,A,1996,35208.78398
FRA,TOT,USD,A,1997,35605.16126
FRA,TOT,USD,A,1998,36151.11514
FRA,TOT,USD,A,1999,36948.8958
FRA,TOT,USD,A,2000,37125.70922
FRA,TOT,USD,A,2001,37361.15176
FRA,TOT,USD,A,2002,38370.18031
FRA,TOT,USD,A,2003,38681.16053
FRA,TOT,USD,A,2004,39315.17476
FRA,TOT,USD,A,2005,39792.17341
FRA,TOT,USD,A,2006,40236.67001
FRA,TOT,USD,A,2007,40386.83355
FRA,TOT,USD,A,2008,40308.40836
FRA,TOT,USD,A,2009,41589.72718
FRA,TOT,USD,A,2010,42435.38246
FRA,TOT,USD,A,2011,42370.29756
FRA,TOT,USD,A,2012,42654.36826
FRA,TOT,USD,A,2013,43012.54154
FRA,TOT,USD,A,2014,43308.84587
FRA,TOT,USD,A,2015,43731.65687
FRA,TOT,USD,A,2016,44220.25463
FRA,TOT,USD,A,2017,44469.02058
FRA,TOT,USD,A,2018,44510.13318
DEU,TOT,USD,A,1991,38150.48055
DEU,TOT,USD,A,1992,40495.076
DEU,TOT,USD,A,1993,40865.81311
DEU,TOT,USD,A,1994,40978.38253
DEU,TOT,USD,A,1995,41898.07961
DEU,TOT,USD,A,1996,42264.85588
DEU,TOT,USD,A,1997,42032.5166
DEU,TOT,USD,A,1998,42438.82302
DEU,TOT,USD,A,1999,43108.88236
DEU,TOT,USD,A,2000,43316.40873
DEU,TOT,USD,A,2001,43748.44029
DEU,TOT,USD,A,2002,43977.45215
DEU,TOT,USD,A,2003,43920.00937
DEU,TOT,USD,A,2004,43917.72821
DEU,TOT,USD,A,2005,43840.69528
DEU,TOT,USD,A,2006,43876.66537
DEU,TOT,USD,A,2007,43802.05673
DEU,TOT,USD,A,2008,44079.14956
DEU,TOT,USD,A,2009,44253.62997
DEU,TOT,USD,A,2010,44451.21699
DEU,TOT,USD,A,2011,45209.41817
DEU,TOT,USD,A,2012,45725.15818
DEU,TOT,USD,A,2013,46277.16566
DEU,TOT,USD,A,2014,47010.04711
DEU,TOT,USD,A,2015,48034.59454
DEU,TOT,USD,A,2016,48709.63953
DEU,TOT,USD,A,2017,49161.09391
DEU,TOT,USD,A,2018,49813.20012
GRC,TOT,USD,A,1995,23315.83473
GRC,TOT,USD,A,1996,23370.77253
GRC,TOT,USD,A,1997,25670.81624
GRC,TOT,USD,A,1998,26001.89237
GRC,TOT,USD,A,1999,26796.45621
GRC,TOT,USD,A,2000,27408.95279
GRC,TOT,USD,A,2001,27963.29377
GRC,TOT,USD,A,2002,30555.51726
GRC,TOT,USD,A,2003,31886.08838
GRC,TOT,USD,A,2004,32458.14087
GRC,TOT,USD,A,2005,32359.28144
GRC,TOT,USD,A,2006,32747.18214
