Territorio,Sesso,Classe di età,Titolo di studio,TIME,Value
Piemonte,maschi,15 anni e più,"licenza di scuola elementare, nessun titolo di studio",2018,226.2
Piemonte,maschi,15 anni e più,"licenza di scuola elementare, nessun titolo di studio",2019,211.578
Piemonte,maschi,15 anni e più,licenza di scuola media,2018,656.363
Piemonte,maschi,15 anni e più,licenza di scuola media,2019,651.879
Piemonte,maschi,15 anni e più,diploma 2-3 anni (qualifica professionale),2018,147.788
Piemonte,maschi,15 anni e più,diploma 2-3 anni (qualifica professionale),2019,154.293
Piemonte,maschi,15 anni e più,diploma 4-5 anni (maturità),2018,550.949
Piemonte,maschi,15 anni e più,diploma 4-5 anni (maturità),2019,548.997
Piemonte,maschi,15 anni e più,laurea e post-laurea,2018,238.289
Piemonte,maschi,15 anni e più,laurea e post-laurea,2019,249.088
Piemonte,maschi,15 anni e più,totale,2018,1819.589
Piemonte,maschi,15 anni e più,totale,2019,1815.835
Piemonte,femmine,15 anni e più,"licenza di scuola elementare, nessun titolo di studio",2018,378.804
Piemonte,femmine,15 anni e più,"licenza di scuola elementare, nessun titolo di studio",2019,357.712
Piemonte,femmine,15 anni e più,licenza di scuola media,2018,607.496
Piemonte,femmine,15 anni e più,licenza di scuola media,2019,602.782
Piemonte,femmine,15 anni e più,diploma 2-3 anni (qualifica professionale),2018,145.239
Piemonte,femmine,15 anni e più,diploma 2-3 anni (qualifica professionale),2019,155.893
Piemonte,femmine,15 anni e più,diploma 4-5 anni (maturità),2018,530.171
Piemonte,femmine,15 anni e più,diploma 4-5 anni (maturità),2019,547.044
Piemonte,femmine,15 anni e più,laurea e post-laurea,2018,300.911
Piemonte,femmine,15 anni e più,laurea e post-laurea,2019,293.036
Piemonte,femmine,15 anni e più,totale,2018,1962.622
Piemonte,femmine,15 anni e più,totale,2019,1956.466
Piemonte,totale,15 anni e più,"licenza di scuola elementare, nessun titolo di studio",2018,605.004
Piemonte,totale,15 anni e più,"licenza di scuola elementare, nessun titolo di studio",2019,569.29
Piemonte,totale,15 anni e più,licenza di scuola media,2018,1263.859
Piemonte,totale,15 anni e più,licenza di scuola media,2019,1254.661
Piemonte,totale,15 anni e più,diploma 2-3 anni (qualifica professionale),2018,293.028
Piemonte,totale,15 anni e più,diploma 2-3 anni (qualifica professionale),2019,310.186
Piemonte,totale,15 anni e più,diploma 4-5 anni (maturità),2018,1081.12
Piemonte,totale,15 anni e più,diploma 4-5 anni (maturità),2019,1096.041
Piemonte,totale,15 anni e più,laurea e post-laurea,2018,539.2
Piemonte,totale,15 anni e più,laurea e post-laurea,2019,542.123
Piemonte,totale,15 anni e più,totale,2018,3782.211
Piemonte,totale,15 anni e più,totale,2019,3772.301
Valle d'Aosta / Vallée d'Aoste,maschi,15 anni e più,"licenza di scuola elementare, nessun titolo di studio",2018,6.494
Valle d'Aosta / Vallée d'Aoste,maschi,15 anni e più,"licenza di scuola elementare, nessun titolo di studio",2019,6.186
Valle d'Aosta / Vallée d'Aoste,maschi,15 anni e più,licenza di scuola media,2018,20.345
Valle d'Aosta / Vallée d'Aoste,maschi,15 anni e più,licenza di scuola media,2019,20.486
Valle d'Aosta / Vallée d'Aoste,maschi,15 anni e più,diploma 2-3 anni (qualifica professionale),2018,3.693
Valle d'Aosta / Vallée d'Aoste,maschi,15 anni e più,diploma 2-3 anni (qualifica professionale),2019,3.424
Valle d'Aosta / Vallée d'Aoste,maschi,15 anni e più,diploma 4-5 anni (maturità),2018,15.935
Valle d'Aosta / Vallée d'Aoste,maschi,15 anni e più,diploma 4-5 anni (maturità),2019,16.3
Valle d'Aosta / Vallée d'Aoste,maschi,15 anni e più,laurea e post-laurea,2018,5.881
Valle d'Aosta / Vallée d'Aoste,maschi,15 anni e più,laurea e post-laurea,2019,5.829
Valle d'Aosta / Vallée d'Aoste,maschi,15 anni e più,totale,2018,52.348
Valle d'Aosta / Vallée d'Aoste,maschi,15 anni e più,totale,2019,52.225
Valle d'Aosta / Vallée d'Aoste,femmine,15 anni e più,"licenza di scuola elementare, nessun titolo di studio",2018,9.594
Valle d'Aosta / Vallée d'Aoste,femmine,15 anni e più,"licenza di scuola elementare, nessun titolo di studio",2019,9.226
Valle d'Aosta / Vallée d'Aoste,femmine,15 anni e più,licenza di scuola media,2018,18.193
Valle d'Aosta / Vallée d'Aoste,femmine,15 anni e più,licenza di scuola media,2019,17.563
Valle d'Aosta / Vallée d'Aoste,femmine,15 anni e più,diploma 2-3 anni (qualifica professionale),2018,3.115
Valle d'Aosta / Vallée d'Aoste,femmine,15 anni e più,diploma 2-3 anni (qualifica professionale),2019,3.261
Valle d'Aosta / Vallée d'Aoste,femmine,15 anni e più,diploma 4-5 anni (maturità),2018,15.841
Valle d'Aosta / Vallée d'Aoste,femmine,15 anni e più,diploma 4-5 anni (maturità),2019,16.741
Valle d'Aosta / Vallée d'Aoste,femmine,15 anni e più,laurea e post-laurea,2018,9.077
Valle d'Aosta / Vallée d'Aoste,femmine,15 anni e più,laurea e post-laurea,2019,8.987
Valle d'Aosta / Vallée d'Aoste,femmine,15 anni e più,totale,2018,55.82
Valle d'Aosta / Vallée d'Aoste,femmine,15 anni e più,totale,2019,55.777
Valle d'Aosta / Vallée d'Aoste,totale,15 anni e più,"licenza di scuola elementare, nessun titolo di studio",2018,16.088
Valle d'Aosta / Vallée d'Aoste,totale,15 anni e più,"licenza di scuola elementare, nessun titolo di studio",2019,15.412
Valle d'Aosta / Vallée d'Aoste,totale,15 anni e più,licenza di scuola media,2018,38.538
Valle d'Aosta / Vallée d'Aoste,totale,15 anni e più,licenza di scuola media,2019,38.049
Valle d'Aosta / Vallée d'Aoste,totale,15 anni e più,diploma 2-3 anni (qualifica professionale),2018,6.809
Valle d'Aosta / Vallée d'Aoste,totale,15 anni e più,diploma 2-3 anni (qualifica professionale),2019,6.685
Valle d'Aosta / Vallée d'Aoste,totale,15 anni e più,diploma 4-5 anni (maturità),2018,31.776
Valle d'Aosta / Vallée d'Aoste,totale,15 anni e più,diploma 4-5 anni (maturità),2019,33.042
Valle d'Aosta / Vallée d'Aoste,totale,15 anni e più,laurea e post-laurea,2018,14.958
Valle d'Aosta / Vallée d'Aoste,totale,15 anni e più,laurea e post-laurea,2019,14.816
Valle d'Aosta / Vallée d'Aoste,totale,15 anni e più,totale,2018,108.168
Valle d'Aosta / Vallée d'Aoste,totale,15 anni e più,totale,2019,108.002
Liguria,maschi,15 anni e più,"licenza di scuola elementare, nessun titolo di studio",2018,68.872
Liguria,maschi,15 anni e più,"licenza di scuola elementare, nessun titolo di studio",2019,63.819
Liguria,maschi,15 anni e più,licenza di scuola media,2018,218.512
Liguria,maschi,15 anni e più,licenza di scuola media,2019,210.015
Liguria,maschi,15 anni e più,diploma 2-3 anni (qualifica professionale),2018,41.877
Liguria,maschi,15 anni e più,diploma 2-3 anni (qualifica professionale),2019,48.135
Liguria,maschi,15 anni e più,diploma 4-5 anni (maturità),2018,223.108
Liguria,maschi,15 anni e più,diploma 4-5 anni (maturità),2019,226.415
Liguria,maschi,15 anni e più,laurea e post-laurea,2018,94.747
Liguria,maschi,15 anni e più,laurea e post-laurea,2019,96.512
Liguria,maschi,15 anni e più,totale,2018,647.116
Liguria,maschi,15 anni e più,totale,2019,644.897
Liguria,femmine,15 anni e più,"licenza di scuola elementare, nessun titolo di studio",2018,127.001
Liguria,femmine,15 anni e più,"licenza di scuola elementare, nessun titolo di studio",2019,121.723
Liguria,femmine,15 anni e più,licenza di scuola media,2018,209.44
Liguria,femmine,15 anni e più,licenza di scuola media,2019,199.764
Liguria,femmine,15 anni e più,diploma 2-3 anni (qualifica professionale),2018,43.206
Liguria,femmine,15 anni e più,diploma 2-3 anni (qualifica professionale),2019,43.245
Liguria,femmine,15 anni e più,diploma 4-5 anni (maturità),2018,212.201
Liguria,femmine,15 anni e più,diploma 4-5 anni (maturità),2019,228.38
Liguria,femmine,15 anni e più,laurea e post-laurea,2018,128.197
Liguria,femmine,15 anni e più,laurea e post-laurea,2019,123.725
