Player,2019/20
Stephen Curry,"$40,231,758"
Russell Westbrook,"$38,506,482"
Chris Paul,"$38,506,482"
James Harden,"$38,199,000"
John Wall,"$38,199,000"
LeBron James,"$37,436,858"
Kevin Durant,"$37,199,000"
Blake Griffin,"$34,449,964"
Kyle Lowry,"$33,296,296"
Paul George,"$33,005,556"
Klay Thompson,"$32,742,000"
Kemba Walker,"$32,742,000"
Kawhi Leonard,"$32,742,000"
Jimmy Butler,"$32,742,000"
Tobias Harris,"$32,742,000"
Gordon Hayward,"$32,700,690"
Mike Conley,"$32,511,623"
Kyrie Irving,"$31,742,000"
Khris Middleton,"$30,603,448"
Paul Millsap,"$30,350,000"
